2026-04-03 08:18:16 upgrade php8.3-readline:amd64 8.3.6-0ubuntu0.24.04.7 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:16 status half-configured php8.3-readline:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:16 status unpacked php8.3-readline:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:16 status half-installed php8.3-readline:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:16 status unpacked php8.3-readline:amd64 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:16 upgrade php8.3-opcache:amd64 8.3.6-0ubuntu0.24.04.7 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:16 status half-configured php8.3-opcache:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:16 status unpacked php8.3-opcache:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:16 status half-installed php8.3-opcache:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:16 status unpacked php8.3-opcache:amd64 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:17 upgrade php8.3-mbstring:amd64 8.3.6-0ubuntu0.24.04.7 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:17 status half-configured php8.3-mbstring:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:17 status unpacked php8.3-mbstring:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:17 status half-installed php8.3-mbstring:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:17 status unpacked php8.3-mbstring:amd64 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:17 upgrade php8.3-intl:amd64 8.3.6-0ubuntu0.24.04.7 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:17 status half-configured php8.3-intl:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:17 status unpacked php8.3-intl:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:17 status half-installed php8.3-intl:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:17 status unpacked php8.3-intl:amd64 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:17 upgrade php8.3-curl:amd64 8.3.6-0ubuntu0.24.04.7 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:17 status half-configured php8.3-curl:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:17 status unpacked php8.3-curl:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:17 status half-installed php8.3-curl:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:17 status unpacked php8.3-curl:amd64 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:18 upgrade libapache2-mod-php8.3:amd64 8.3.6-0ubuntu0.24.04.7 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:18 status half-configured libapache2-mod-php8.3:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:18 status unpacked libapache2-mod-php8.3:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:18 status half-installed libapache2-mod-php8.3:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:18 status unpacked libapache2-mod-php8.3:amd64 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:18 upgrade php8.3-cli:amd64 8.3.6-0ubuntu0.24.04.7 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:18 status half-configured php8.3-cli:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:18 status unpacked php8.3-cli:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:18 status half-installed php8.3-cli:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:18 status unpacked php8.3-cli:amd64 8.3.6-0ubuntu0.24.04.8
